id	filename	md5	size	state
0957bb2e-11dc-475e-84be-bdc33effb77b	0957bb2e-11dc-475e-84be-bdc33effb77b/1bc318cd-a7a7-4356-915c-29a97a234013.rna_seq.augmented_star_gene_counts.tsv	e2678aa6968a7bf1a69c75407544fd4b	4226014	validated
0a14b390-558e-418a-83f8-148f459f2855	0a14b390-558e-418a-83f8-148f459f2855/fdaad4b3-332b-4187-8e0d-c2f639add45c.rna_seq.augmented_star_gene_counts.tsv	cdeb9baaf28938156b30d153e6b5963c	4242395	validated
0e1e7f6f-f00c-4276-9b80-e87f5a9bb485	0e1e7f6f-f00c-4276-9b80-e87f5a9bb485/0f1b8440-4376-4861-a4fd-62511a819a97.rna_seq.augmented_star_gene_counts.tsv	3b8a42697426529223775dc020b935fd	4237603	validated
12b28d4e-4e1f-457d-bb8a-7bbd275352d7	12b28d4e-4e1f-457d-bb8a-7bbd275352d7/5a343fc3-252f-4e80-869c-26ae1e471268.rna_seq.augmented_star_gene_counts.tsv	622f58bedf7b6716d4bcd87c2b1c3b57	4244123	validated
12d568f1-a850-4b73-99c4-92fad05672cf	12d568f1-a850-4b73-99c4-92fad05672cf/005b79ce-22fd-4575-9271-a41bfebc94d3.rna_seq.augmented_star_gene_counts.tsv	0289051310ba2743092c220e2aad08a0	4228863	validated
13ee2df9-5746-4e2c-89a8-14b661c1ff88	13ee2df9-5746-4e2c-89a8-14b661c1ff88/5586e0ed-a966-418a-96f8-dbef3c08033f.rna_seq.augmented_star_gene_counts.tsv	41461805b2578bf1c1c49ea632ba1dae	4233965	validated
1447b886-773a-4423-ab52-9df85858af8a	1447b886-773a-4423-ab52-9df85858af8a/622926d3-62e6-48f3-b4fa-5f8eb73ec25d.rna_seq.augmented_star_gene_counts.tsv	eb3d438fac8cc037cb2712a9314fd2e9	4244802	validated
14afcc09-95fd-4bc6-9f04-fa12065168ee	14afcc09-95fd-4bc6-9f04-fa12065168ee/dd08dd11-37ef-4739-a2df-ff78ff930368.rna_seq.augmented_star_gene_counts.tsv	1c7ce8daa5a4200f36a26ffae1e85788	4227703	validated
179ba7b7-bc04-47e2-aeed-c96ce62a20b3	179ba7b7-bc04-47e2-aeed-c96ce62a20b3/a875d8c4-b0b2-485f-80e5-b05d27f7c405.rna_seq.augmented_star_gene_counts.tsv	a582466541b6270295f54bca62fe80f1	4244276	validated
1b9a7cf2-ebbb-4b93-9b46-aa582d209b9c	1b9a7cf2-ebbb-4b93-9b46-aa582d209b9c/905aab99-b8f4-4769-a3eb-4b5d570fffaf.rna_seq.augmented_star_gene_counts.tsv	15279bdeb581e7ec1d7e666d0a7cff65	4239958	validated
