"id","data_format","cases","access","file_name","submitter_id","data_category","type","file_size","created_datetime","md5sum","updated_datetime","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","analysis_workflow_version","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"8d16fe63-865d-4345-af83-8a2893a64450","TSV","CPT0113150009","open","df0ae930-d49f-4269-b4cb-942b0544f2c4.rna_seq.augmented_star_gene_counts.tsv","5bd98f76-c686-4679-8428-f019f2731916","Transcriptome Profiling","gene_expression",4239298,"2022-04-04T19:11:43.810941-05:00","35069ec88c1116eaa206c6c584c4d476","2022-07-11T15:07:12.905705-05:00","8d16fe63-865d-4345-af83-8a2893a64450","Gene Expression Quantification","released","RNA-Seq","1","34.0 - 37.0","CPTAC-3","03a778fc-390f-4225-8756-b9d27e4bf08c","released","df0ae930-d49f-4269-b4cb-942b0544f2c4_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Solid Tissue Normal",NA,"C3L-02544","C3L-02544-06"
"506d7859-0365-4a18-9da1-7c45d45cc243","TSV","CPT0078000009","open","d097bf34-fa01-4b9c-8b71-e47effe7724e.rna_seq.augmented_star_gene_counts.tsv","1197e9d0-0e94-47a6-9c7d-f49884d81685","Transcriptome Profiling","gene_expression",4232042,"2022-01-06T09:48:28.036100-06:00","d61ab1761f612fd3763220a09afca99a","2022-02-03T00:27:50.497153-06:00","506d7859-0365-4a18-9da1-7c45d45cc243","Gene Expression Quantification","released","RNA-Seq","2","32.0 - 37.0","CPTAC-3","35695520-f49d-410a-863d-a2a7beccd4e2","released","d097bf34-fa01-4b9c-8b71-e47effe7724e_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Primary Tumor",NA,"C3N-00518","C3N-00518-01"
"ef18d754-47c2-4b5c-b6ad-457e3d40ace4","TSV","CPT0026670001","open","64be61be-941f-4bb5-a06a-d281c3d4883f.rna_seq.augmented_star_gene_counts.tsv","fd28c3de-cb57-4c8b-b1f1-6f72fba6141d","Transcriptome Profiling","gene_expression",4258421,"2022-04-21T09:02:32.811116-05:00","88c085a4c8eaff53012d2a239cd1bd1e","2022-07-11T13:39:19.841094-05:00","ef18d754-47c2-4b5c-b6ad-457e3d40ace4","Gene Expression Quantification","released","RNA-Seq","1","34.0 - 37.0","CPTAC-3","29e793d7-94ba-4d55-8d14-a2c9c6a7435f","released","64be61be-941f-4bb5-a06a-d281c3d4883f_star_-_counts","quay.io/ncigdc","STAR - Counts","61fd5ef8ab410a784da2e89eca063ca3c66998ec","Primary Tumor",NA,"C3L-00770","C3L-00770-11"
"ae33e6d4-c8f4-433f-a67f-dc1ba4f7888f","TSV","CPT0023630009","open","6cbe403c-5c2c-4cb7-8f8c-37424f2917a2.rna_seq.augmented_star_gene_counts.tsv","9fc49624-50f1-4556-a0cb-24a4bbb66702","Transcriptome Profiling","gene_expression",4242294,"2022-01-06T09:43:40.072486-06:00","0e29f334e115116c06bb0611be833fb4","2022-02-03T00:27:52.040383-06:00","ae33e6d4-c8f4-433f-a67f-dc1ba4f7888f","Gene Expression Quantification","released","RNA-Seq","2","32.0 - 37.0","CPTAC-3","404fe93f-3dae-4da6-afb1-dca7663f13e4","released","6cbe403c-5c2c-4cb7-8f8c-37424f2917a2_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Primary Tumor",NA,"C3L-00586","C3L-00586-03"
"5dff30b4-5d48-45ca-aafd-3b11a76d2914","TSV","CPT0052940014","open","17488f1e-ff21-486e-bc32-5aa1379672ae.rna_seq.augmented_star_gene_counts.tsv","cb93595b-b0a7-4e07-98fd-7442cfbae1c7","Transcriptome Profiling","gene_expression",4238575,"2022-01-06T09:51:26.675005-06:00","6aaedd7d90cdc323faa34ba9cc7a6957","2022-02-03T00:28:37.684450-06:00","5dff30b4-5d48-45ca-aafd-3b11a76d2914","Gene Expression Quantification","released","RNA-Seq","2","32.0 - 37.0","CPTAC-3","6d42dc82-ae9b-4380-9717-e3486fab9b1f","released","17488f1e-ff21-486e-bc32-5aa1379672ae_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Primary Tumor",NA,"11LU016","93e30fd5-e57e-4503-a175-863c7d"
"c5223d57-a5a8-4da2-9753-268561694671","TSV","CPT0349730001","open","3c05c010-995e-4576-a4a6-8843ecc67368.rna_seq.augmented_star_gene_counts.tsv","264d96e0-3209-4fac-9641-6eb77038222c","Transcriptome Profiling","gene_expression",4219643,"2022-04-21T08:57:40.593099-05:00","10088fd61ecbf60ec514163af95ac254","2022-07-11T13:41:03.864060-05:00","c5223d57-a5a8-4da2-9753-268561694671","Gene Expression Quantification","released","RNA-Seq","1","34.0 - 37.0","CPTAC-3","da8ed0cb-2ee9-44f5-adef-c6cdff0fe140","released","3c05c010-995e-4576-a4a6-8843ecc67368_star_-_counts","quay.io/ncigdc","STAR - Counts","61fd5ef8ab410a784da2e89eca063ca3c66998ec","Primary Tumor",NA,"C3L-00586","C3L-00586-13"
"4dcc7963-52c6-42d4-b604-4c2061fbdd5e","TSV","CPT0088920006","open","00167e25-7f06-44d8-be51-bd022bf36a4d.rna_seq.augmented_star_gene_counts.tsv","59dacff8-4b62-4e3e-959a-a04a4a6e9898","Transcriptome Profiling","gene_expression",4223144,"2022-01-06T09:52:38.721464-06:00","817e914e5375c919dbf46df3246a07aa","2022-02-03T00:26:41.449827-06:00","4dcc7963-52c6-42d4-b604-4c2061fbdd5e","Gene Expression Quantification","released","RNA-Seq","2","32.0 - 37.0","CPTAC-3","f6b6028e-d253-4901-88ec-39894ef27f28","released","00167e25-7f06-44d8-be51-bd022bf36a4d_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Solid Tissue Normal",NA,"C3N-01179","C3N-01179-05"
"7dd1e40d-bc90-43e3-8afc-3c8179e71a1b","TSV","CPT0088900006","open","f093ea86-510e-403e-8568-d0486f5ec824.rna_seq.augmented_star_gene_counts.tsv","42494a79-ea8e-47cd-8964-f85e9e2c2edb","Transcriptome Profiling","gene_expression",4244105,"2022-01-06T09:52:11.898207-06:00","effb0d496219c5d139147777094c9a88","2022-02-03T00:27:08.542457-06:00","7dd1e40d-bc90-43e3-8afc-3c8179e71a1b","Gene Expression Quantification","released","RNA-Seq","2","32.0 - 37.0","CPTAC-3","ac189446-eaa5-41b2-a293-19f09c8c7937","released","f093ea86-510e-403e-8568-d0486f5ec824_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Primary Tumor",NA,"C3N-01179","C3N-01179-01"
"72e851d6-01ff-4647-8d77-db52ac5243dc","TSV","CPT0019160006","open","8fafe7f7-907b-41e3-acaa-34e44b7e8055.rna_seq.augmented_star_gene_counts.tsv","5dde6415-0fbe-48f6-af2b-0edf1051e973","Transcriptome Profiling","gene_expression",4237044,"2022-01-06T08:56:43.277650-06:00","0d9707efab6e4cf0316865465b0d1ffb","2022-02-03T00:28:19.645456-06:00","72e851d6-01ff-4647-8d77-db52ac5243dc","Gene Expression Quantification","released","RNA-Seq","2","32.0 - 37.0","CPTAC-3","5c132154-54ea-471d-9cb0-63023486ced5","released","8fafe7f7-907b-41e3-acaa-34e44b7e8055_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Solid Tissue Normal",NA,"C3L-00583","C3L-00583-06"
"7a0ed3cd-c398-4115-9e80-b6f09290ec6c","TSV","CPT0195700006","open","ba31b492-6d7d-4890-bd48-10be7faa27fd.rna_seq.augmented_star_gene_counts.tsv","edc1d900-06d7-4f84-8b8f-a6de4ce84611","Transcriptome Profiling","gene_expression",4233095,"2022-01-06T08:51:49.965313-06:00","f7e769ac3ffdaabb7ce2c44535b886e8","2022-02-03T00:29:04.914543-06:00","7a0ed3cd-c398-4115-9e80-b6f09290ec6c","Gene Expression Quantification","released","RNA-Seq","2","32.0 - 37.0","CPTAC-3","ced276ca-18c0-4a66-a656-de088db333c4","released","ba31b492-6d7d-4890-bd48-10be7faa27fd_star_-_counts","quay.io/ncigdc","STAR - Counts","122a0dd1445b2664b1b40b7df7b0e2240183d712","Solid Tissue Normal",NA,"C3N-03490","C3N-03490-06"
